item_no,condition,advTYPE,context_sentence,region1_text,region2_text,region3_text,region4_text,full_sentence,critical_token,source
42,EN_Word_order,frequency,Michael loves spending time with his family.,Michael,often tells,funny stories,at the dinner table.,Michael often tells funny stories at the dinner table.,often,generated
42,FR_Word_order,frequency,Michael loves spending time with his family.,Michael,tells often,funny stories,at the dinner table.,Michael tells often funny stories at the dinner table.,often,generated
43,EN_Word_order,manner,The baby was finally asleep in the next room.,Robert,quietly closed,the bedroom door,behind him.,Robert quietly closed the bedroom door behind him.,quietly,generated
43,FR_Word_order,manner,The baby was finally asleep in the next room.,Robert,closed quietly,the bedroom door,behind him.,Robert closed quietly the bedroom door behind him.,quietly,generated
44,EN_Word_order,manner,The movie was reaching its most suspenseful part.,A security guard,suddenly opened,the main entrance,without a sound.,A security guard suddenly opened the main entrance without a sound.,suddenly,generated
44,FR_Word_order,manner,The movie was reaching its most suspenseful part.,A security guard,opened suddenly,the main entrance,without a sound.,A security guard opened suddenly the main entrance without a sound.,suddenly,generated
45,EN_Word_order,manner,The priceless vase was on the high shelf.,Laura,gently placed,the fragile artifact,back in the box.,Laura gently placed the fragile artifact back in the box.,gently,generated
45,FR_Word_order,manner,The priceless vase was on the high shelf.,Laura,placed gently,the fragile artifact,back in the box.,Laura placed gently the fragile artifact back in the box.,gently,generated
46,EN_Word_order,manner,The lecture was about to end.,Chris,briefly reviewed,his notes,before the exam.,Chris briefly reviewed his notes before the exam.,briefly,generated
46,FR_Word_order,manner,The lecture was about to end.,Chris,reviewed briefly,his notes,before the exam.,Chris reviewed briefly his notes before the exam.,briefly,generated
47,EN_Word_order,manner,The package had finally arrived.,The young artist,eagerly unwrapped,the new paint set,on the kitchen table.,The young artist eagerly unwrapped the new paint set on the kitchen table.,eagerly,generated
47,FR_Word_order,manner,The package had finally arrived.,The young artist,unwrapped eagerly,the new paint set,on the kitchen table.,The young artist unwrapped eagerly the new paint set on the kitchen table.,eagerly,generated
48,EN_Word_order,manner,There was a disagreement during the debate.,Daniel,firmly stated,his position,to the audience.,Daniel firmly stated his position to the audience.,firmly,generated
48,FR_Word_order,manner,There was a disagreement during the debate.,Daniel,stated firmly,his position,to the audience.,Daniel stated firmly his position to the audience.,firmly,generated
49,EN_Word_order,manner,The situation was getting very tense.,The old man,calmly explained,the entire procedure,to the worried crowd.,The old man calmly explained the entire procedure to the worried crowd.,calmly,generated
49,FR_Word_order,manner,The situation was getting very tense.,The old man,explained calmly,the entire procedure,to the worried crowd.,The old man explained calmly the entire procedure to the worried crowd.,calmly,generated
50,EN_Word_order,manner,The competition results were announced.,His best friend,proudly displayed,the first-place trophy,on the mantelpiece.,His best friend proudly displayed the first-place trophy on the mantelpiece.,proudly,generated
50,FR_Word_order,manner,The competition results were announced.,His best friend,displayed proudly,the first-place trophy,on the mantelpiece.,His best friend displayed proudly the first-place trophy on the mantelpiece.,proudly,generated
51,EN_Word_order,manner,It was her turn to give the presentation.,Amanda,nervously checked,her microphone,for the third time.,Amanda nervously checked her microphone for the third time.,nervously,generated
51,FR_Word_order,manner,It was her turn to give the presentation.,Amanda,checked nervously,her microphone,for the third time.,Amanda checked nervously her microphone for the third time.,nervously,generated
52,EN_Word_order,manner,The kitchen was a complete mess after the party.,That chef,neatly arranged,the clean dishes,in the cupboard.,That chef neatly arranged the clean dishes in the cupboard.,neatly,generated
52,FR_Word_order,manner,The kitchen was a complete mess after the party.,That chef,arranged neatly,the clean dishes,in the cupboard.,That chef arranged neatly the clean dishes in the cupboard.,neatly,generated
53,EN_Word_order,manner,The old timepiece was a family heirloom.,Arthur,carefully examined,the antique watch,under the bright lamp.,Arthur carefully examined the antique watch under the bright lamp.,carefully,generated
53,FR_Word_order,manner,The old timepiece was a family heirloom.,Arthur,examined carefully,the antique watch,under the bright lamp.,Arthur examined carefully the antique watch under the bright lamp.,carefully,generated
54,EN_Word_order,manner,There was a long line of people in the waiting room.,The doctor,quickly reviewed,the patient's chart,before the appointment.,The doctor quickly reviewed the patient's chart before the appointment.,quickly,generated
54,FR_Word_order,manner,There was a long line of people in the waiting room.,The doctor,reviewed quickly,the patient's chart,before the appointment.,The doctor reviewed quickly the patient's chart before the appointment.,quickly,generated
55,EN_Word_order,manner,The recipe required constant attention.,Beatrice,slowly stirred,the simmering sauce,with a wooden spoon.,Beatrice slowly stirred the simmering sauce with a wooden spoon.,slowly,generated
55,FR_Word_order,manner,The recipe required constant attention.,Beatrice,stirred slowly,the simmering sauce,with a wooden spoon.,Beatrice stirred slowly the simmering sauce with a wooden spoon.,slowly,generated
56,EN_Word_order,manner,The dessert was the final course of the meal.,The chef,softly placed,the delicate pastry,onto the serving plate.,The chef softly placed the delicate pastry onto the serving plate.,softly,generated
56,FR_Word_order,manner,The dessert was the final course of the meal.,The chef,placed softly,the delicate pastry,onto the serving plate.,The chef placed softly the delicate pastry onto the serving plate.,softly,generated
57,EN_Word_order,manner,Many employees were unhappy with the changes.,Clara,sharply criticized,the new policy,during the team meeting.,Clara sharply criticized the new policy during the team meeting.,sharply,generated
57,FR_Word_order,manner,Many employees were unhappy with the changes.,Clara,criticized sharply,the new policy,during the team meeting.,Clara criticized sharply the new policy during the team meeting.,sharply,generated
58,EN_Word_order,manner,The entire house could feel the vibrations.,That student,loudly played,his electric guitar,in the basement.,That student loudly played his electric guitar in the basement.,loudly,generated
58,FR_Word_order,manner,The entire house could feel the vibrations.,That student,played loudly,his electric guitar,in the basement.,That student played loudly his electric guitar in the basement.,loudly,generated
59,EN_Word_order,manner,He was distracted by a phone call.,David,badly burned,the toast,this morning.,David badly burned the toast this morning.,badly,generated
59,FR_Word_order,manner,He was distracted by a phone call.,David,burned badly,the toast,this morning.,David burned badly the toast this morning.,badly,generated
60,EN_Word_order,manner,He sat on the porch swing with a smile.,The old man,patiently awaited,the arrival,of his grandchildren.,The old man patiently awaited the arrival of his grandchildren.,patiently,generated
60,FR_Word_order,manner,He sat on the porch swing with a smile.,The old man,awaited patiently,the arrival,of his grandchildren.,The old man awaited patiently the arrival of his grandchildren.,patiently,generated
61,EN_Word_order,manner,The audience was completely mesmerized.,Eleanor,perfectly executed,the complex dance move,on the stage.,Eleanor perfectly executed the complex dance move on the stage.,perfectly,generated
61,FR_Word_order,manner,The audience was completely mesmerized.,Eleanor,executed perfectly,the complex dance move,on the stage.,Eleanor executed perfectly the complex dance move on the stage.,perfectly,generated
62,EN_Word_order,manner,She grew up in a multicultural household.,The young woman,fluently speaks,three languages,with her international clients.,The young woman fluently speaks three languages with her international clients.,fluently,generated
62,FR_Word_order,manner,She grew up in a multicultural household.,The young woman,speaks fluently,three languages,with her international clients.,The young woman speaks fluently three languages with her international clients.,fluently,generated
63,EN_Word_order,frequency,He gets all his information from the internet.,Felix,seldom reads,the newspaper,in the morning.,Felix seldom reads the newspaper in the morning.,seldom,generated
63,FR_Word_order,frequency,He gets all his information from the internet.,Felix,reads seldom,the newspaper,in the morning.,Felix reads seldom the newspaper in the morning.,seldom,generated
64,EN_Word_order,frequency,He follows a very strict diet.,My neighbor,never eats,red meat,for health reasons.,My neighbor never eats red meat for health reasons.,never,generated
64,FR_Word_order,frequency,He follows a very strict diet.,My neighbor,eats never,red meat,for health reasons.,My neighbor eats never red meat for health reasons.,never,generated
65,EN_Word_order,frequency,She likes to stay on top of her correspondence.,Gloria,daily checks,her email,on her phone.,Gloria daily checks her email on her phone.,daily,generated
65,FR_Word_order,frequency,She likes to stay on top of her correspondence.,Gloria,checks daily,her email,on her phone.,Gloria checks daily her email on her phone.,daily,generated
66,EN_Word_order,frequency,The family makes sure someone is always there.,His cousin,weekly visits,their grandmother,at the nursing home.,His cousin weekly visits their grandmother at the nursing home.,weekly,generated
66,FR_Word_order,frequency,The family makes sure someone is always there.,His cousin,visits weekly,their grandmother,at the nursing home.,His cousin visits weekly their grandmother at the nursing home.,weekly,generated
67,EN_Word_order,frequency,He is a very responsible tenant.,Henry,monthly pays,his rent,without any delay.,Henry monthly pays his rent without any delay.,monthly,generated
67,FR_Word_order,frequency,He is a very responsible tenant.,Henry,pays monthly,his rent,without any delay.,Henry pays monthly his rent without any delay.,monthly,generated
68,EN_Word_order,frequency,The company's fiscal year ends in December.,Her boss,annually reviews,the budget,with the finance department.,Her boss annually reviews the budget with the finance department.,annually,generated
68,FR_Word_order,frequency,The company's fiscal year ends in December.,Her boss,reviews annually,the budget,with the finance department.,Her boss reviews annually the budget with the finance department.,annually,generated
69,EN_Word_order,frequency,She was sure her friend was home.,Iris,repeatedly pressed,the doorbell,but nobody answered.,Iris repeatedly pressed the doorbell but nobody answered.,repeatedly,generated
69,FR_Word_order,frequency,She was sure her friend was home.,Iris,pressed repeatedly,the doorbell,but nobody answered.,Iris pressed repeatedly the doorbell but nobody answered.,repeatedly,generated
70,EN_Word_order,frequency,He wants to attract new clients.,The artist,periodically updates,his online portfolio,with new work.,The artist periodically updates his online portfolio with new work.,periodically,generated
70,FR_Word_order,frequency,He wants to attract new clients.,The artist,updates periodically,his online portfolio,with new work.,The artist updates periodically his online portfolio with new work.,periodically,generated
71,EN_Word_order,frequency,The chemical reaction was very sensitive.,Jasper,hourly monitored,the experiment,for any changes.,Jasper hourly monitored the experiment for any changes.,hourly,generated
71,FR_Word_order,frequency,The chemical reaction was very sensitive.,Jasper,monitored hourly,the experiment,for any changes.,Jasper monitored hourly the experiment for any changes.,hourly,generated
72,EN_Word_order,frequency,Public transportation requires rigorous maintenance.,The mechanic,quarterly inspects,the city buses,for safety violations.,The mechanic quarterly inspects the city buses for safety violations.,quarterly,generated
72,FR_Word_order,frequency,Public transportation requires rigorous maintenance.,The mechanic,inspects quarterly,the city buses,for safety violations.,The mechanic inspects quarterly the city buses for safety violations.,quarterly,generated
73,EN_Word_order,frequency,The students were discussing their weekly schedule.,The professor,typically assigns,the homework,on Fridays.,The professor typically assigns the homework on Fridays.,typically,generated
73,FR_Word_order,frequency,The students were discussing their weekly schedule.,The professor,assigns typically,the homework,on Fridays.,The professor assigns typically the homework on Fridays.,typically,generated
74,EN_Word_order,frequency,It was hard to get a good night's sleep.,My neighbor,intermittently plays,loud music,throughout the night.,My neighbor intermittently plays loud music throughout the night.,intermittently,generated
74,FR_Word_order,frequency,It was hard to get a good night's sleep.,My neighbor,plays intermittently,loud music,throughout the night.,My neighbor plays intermittently loud music throughout the night.,intermittently,generated
75,EN_Word_order,frequency,The whole street smelled wonderful in the morning.,The old baker,habitually bakes,fresh bread,before sunrise.,The old baker habitually bakes fresh bread before sunrise.,habitually,generated
75,FR_Word_order,frequency,The whole street smelled wonderful in the morning.,The old baker,bakes habitually,fresh bread,before sunrise.,The old baker bakes habitually fresh bread before sunrise.,habitually,generated
76,EN_Word_order,frequency,Most people did not even know she needed them.,Sarah,infrequently wears,her glasses,in public.,Sarah infrequently wears her glasses in public.,infrequently,generated
76,FR_Word_order,frequency,Most people did not even know she needed them.,Sarah,wears infrequently,her glasses,in public.,Sarah wears infrequently her glasses in public.,infrequently,generated
77,EN_Word_order,frequency,The business has a great reputation.,That company,consistently delivers,quality products,to its customers.,That company consistently delivers quality products to its customers.,consistently,generated
77,FR_Word_order,frequency,The business has a great reputation.,That company,delivers consistently,quality products,to its customers.,That company delivers consistently quality products to its customers.,consistently,generated
78,EN_Word_order,frequency,He needs caffeine to start his day.,David,normally drinks,black coffee,in the morning.,David normally drinks black coffee in the morning.,normally,generated
78,FR_Word_order,frequency,He needs caffeine to start his day.,David,drinks normally,black coffee,in the morning.,David drinks normally black coffee in the morning.,normally,generated
79,EN_Word_order,frequency,His parents were running out of answers.,The toddler,perpetually asks,difficult questions,during car rides.,The toddler perpetually asks difficult questions during car rides.,perpetually,generated
79,FR_Word_order,frequency,His parents were running out of answers.,The toddler,asks perpetually,difficult questions,during car rides.,The toddler asks perpetually difficult questions during car rides.,perpetually,generated
80,EN_Word_order,frequency,We never know when we will find a surprise.,Our cat,sporadically catches,a mouse,in the garden.,Our cat sporadically catches a mouse in the garden.,sporadically,generated
80,FR_Word_order,frequency,We never know when we will find a surprise.,Our cat,catches sporadically,a mouse,in the garden.,Our cat catches sporadically a mouse in the garden.,sporadically,generated
81,EN_Word_order,frequency,The experiment required around-the-clock monitoring.,The machine,continuously processes,the data,without any breaks.,The machine continuously processes the data without any breaks.,continuously,generated
81,FR_Word_order,frequency,The experiment required around-the-clock monitoring.,The machine,processes continuously,the data,without any breaks.,The machine processes continuously the data without any breaks.,continuously,generated
82,EN_Word_order,frequency,Everyone knew the punchline by heart.,Mr. Harris,recurrently tells,the same story,at family gatherings.,Mr. Harris recurrently tells the same story at family gatherings.,recurrently,generated
82,FR_Word_order,frequency,Everyone knew the punchline by heart.,Mr. Harris,tells recurrently,the same story,at family gatherings.,Mr. Harris tells recurrently the same story at family gatherings.,recurrently,generated
83,EN_Word_order,manner,It was a special treat for them.,The children,happily ate,the ice cream,on the sunny afternoon.,The children happily ate the ice cream on the sunny afternoon.,happily,generated
83,FR_Word_order,manner,It was a special treat for them.,The children,ate happily,the ice cream,on the sunny afternoon.,The children ate happily the ice cream on the sunny afternoon.,happily,generated
84,EN_Word_order,manner,He had to leave his home of fifty years.,The old man,sadly packed,his belongings,into a small suitcase.,The old man sadly packed his belongings into a small suitcase.,sadly,generated
84,FR_Word_order,manner,He had to leave his home of fifty years.,The old man,packed sadly,his belongings,into a small suitcase.,The old man packed sadly his belongings into a small suitcase.,sadly,generated
85,EN_Word_order,manner,The quarterly report was not what he expected.,My boss,angrily slammed,the door,behind him.,My boss angrily slammed the door behind him.,angrily,generated
85,FR_Word_order,manner,The quarterly report was not what he expected.,My boss,slammed angrily,the door,behind him.,My boss slammed angrily the door behind him.,angrily,generated
86,EN_Word_order,manner,The smoke was getting thicker every second.,The firefighter,bravely entered,the burning building,to rescue the family.,The firefighter bravely entered the burning building to rescue the family.,bravely,generated
86,FR_Word_order,manner,The smoke was getting thicker every second.,The firefighter,entered bravely,the burning building,to rescue the family.,The firefighter entered bravely the burning building to rescue the family.,bravely,generated
87,EN_Word_order,manner,The information inside could change everything.,The spy,cautiously opened,the secret file,in the dead of night.,The spy cautiously opened the secret file in the dead of night.,cautiously,generated
87,FR_Word_order,manner,The information inside could change everything.,The spy,opened cautiously,the secret file,in the dead of night.,The spy opened cautiously the secret file in the dead of night.,cautiously,generated
88,EN_Word_order,manner,The final exam was just a week away.,The teacher,clearly explained,the difficult concept,to her students.,The teacher clearly explained the difficult concept to her students.,clearly,generated
88,FR_Word_order,manner,The final exam was just a week away.,The teacher,explained clearly,the difficult concept,to her students.,The teacher explained clearly the difficult concept to her students.,clearly,generated
89,EN_Word_order,manner,The topic was quite sensitive for the campaign.,The politician,deliberately ignored,the reporter's question,during the press conference.,The politician deliberately ignored the reporter's question during the press conference.,deliberately,generated
89,FR_Word_order,manner,The topic was quite sensitive for the campaign.,The politician,ignored deliberately,the reporter's question,during the press conference.,The politician ignored deliberately the reporter's question during the press conference.,deliberately,generated
90,EN_Word_order,manner,The man had been away on a long trip.,The dog,enthusiastically greeted,its owner,at the front door.,The dog enthusiastically greeted its owner at the front door.,enthusiastically,generated
90,FR_Word_order,manner,The man had been away on a long trip.,The dog,greeted enthusiastically,its owner,at the front door.,The dog greeted enthusiastically its owner at the front door.,enthusiastically,generated
91,EN_Word_order,manner,The audience watched in complete silence.,The ballerina,gracefully executed,a perfect pirouette,on the main stage.,The ballerina gracefully executed a perfect pirouette on the main stage.,gracefully,generated
91,FR_Word_order,manner,The audience watched in complete silence.,The ballerina,executed gracefully,a perfect pirouette,on the main stage.,The ballerina executed gracefully a perfect pirouette on the main stage.,gracefully,generated
92,EN_Word_order,manner,The exam was almost over.,A nervous student,hastily wrote,the final answer,before time ran out.,A nervous student hastily wrote the final answer before time ran out.,hastily,generated
92,FR_Word_order,manner,The exam was almost over.,A nervous student,wrote hastily,the final answer,before time ran out.,A nervous student wrote hastily the final answer before time ran out.,hastily,generated
93,EN_Word_order,frequency,The library has very strict rules.,The new student,scarcely questions,the librarian's authority,during study hours.,The new student scarcely questions the librarian's authority during study hours.,scarcely,generated
93,FR_Word_order,frequency,The library has very strict rules.,The new student,questions scarcely,the librarian's authority,during study hours.,The new student questions scarcely the librarian's authority during study hours.,scarcely,generated
94,EN_Word_order,frequency,The company has a new security protocol.,Alice,routinely checks,her work email,for any phishing attempts.,Alice routinely checks her work email for any phishing attempts.,routinely,generated
94,FR_Word_order,frequency,The company has a new security protocol.,Alice,checks routinely,her work email,for any phishing attempts.,Alice checks routinely her work email for any phishing attempts.,routinely,generated
95,EN_Word_order,frequency,It was a very traditional household.,The old man,customarily reads,the newspaper,before his breakfast.,The old man customarily reads the newspaper before his breakfast.,customarily,generated
95,FR_Word_order,frequency,It was a very traditional household.,The old man,reads customarily,the newspaper,before his breakfast.,The old man reads customarily the newspaper before his breakfast.,customarily,generated
96,EN_Word_order,frequency,The weekend weather was surprisingly sunny.,Ben,ordinarily wears,a heavy coat,in the wintertime.,Ben ordinarily wears a heavy coat in the wintertime.,ordinarily,generated
96,FR_Word_order,frequency,The weekend weather was surprisingly sunny.,Ben,wears ordinarily,a heavy coat,in the wintertime.,Ben wears ordinarily a heavy coat in the wintertime.,ordinarily,generated
97,EN_Word_order,frequency,That particular spice is quite expensive.,That chef,uncommonly uses,saffron,in his dessert recipes.,That chef uncommonly uses saffron in his dessert recipes.,uncommonly,generated
97,FR_Word_order,frequency,That particular spice is quite expensive.,That chef,uses uncommonly,saffron,in his dessert recipes.,That chef uses uncommonly saffron in his dessert recipes.,uncommonly,generated
98,EN_Word_order,frequency,She is a model student with perfect grades.,Clara,exceptionally misses,a homework assignment,throughout the school year.,Clara exceptionally misses a homework assignment throughout the school year.,exceptionally,generated
98,FR_Word_order,frequency,She is a model student with perfect grades.,Clara,misses exceptionally,a homework assignment,throughout the school year.,Clara misses exceptionally a homework assignment throughout the school year.,exceptionally,generated
99,EN_Word_order,frequency,The town square is a popular gathering place.,The local artist,perennially sells,his landscape paintings,at the weekend market.,The local artist perennially sells his landscape paintings at the weekend market.,perennially,generated
99,FR_Word_order,frequency,The town square is a popular gathering place.,The local artist,sells perennially,his landscape paintings,at the weekend market.,The local artist sells perennially his landscape paintings at the weekend market.,perennially,generated
100,EN_Word_order,frequency,He loves following a strict schedule.,David,invariably chooses,the chicken salad,for his lunch.,David invariably chooses the chicken salad for his lunch.,invariably,generated
100,FR_Word_order,frequency,He loves following a strict schedule.,David,chooses invariably,the chicken salad,for his lunch.,David chooses invariably the chicken salad for his lunch.,invariably,generated
101,EN_Word_order,frequency,The activist was very passionate about her cause.,Eleanor,ceaselessly promotes,her chosen charity,with great determination.,Eleanor ceaselessly promotes her chosen charity with great determination.,ceaselessly,generated
101,FR_Word_order,frequency,The activist was very passionate about her cause.,Eleanor,promotes ceaselessly,her chosen charity,with great determination.,Eleanor promotes ceaselessly her chosen charity with great determination.,ceaselessly,generated
102,EN_Word_order,frequency,The family enjoys traditional holiday meals.,My neighbor,conventionally serves,turkey,for Thanksgiving dinner.,My neighbor conventionally serves turkey for Thanksgiving dinner.,conventionally,generated
102,FR_Word_order,frequency,The family enjoys traditional holiday meals.,My neighbor,serves conventionally,turkey,for Thanksgiving dinner.,My neighbor serves conventionally turkey for Thanksgiving dinner.,conventionally,generated
103,EN_Word_order,manner,The boy was new to dancing.,Frank,awkwardly held,his partner's hand,during the waltz lesson.,Frank awkwardly held his partner's hand during the waltz lesson.,awkwardly,generated
103,FR_Word_order,manner,The boy was new to dancing.,Frank,held awkwardly,his partner's hand,during the waltz lesson.,Frank held awkwardly his partner's hand during the waltz lesson.,awkwardly,generated
104,EN_Word_order,manner,The negotiation was at a critical point.,The police officer,skillfully handled,the tense situation,with years of experience.,The police officer skillfully handled the tense situation with years of experience.,skillfully,generated
104,FR_Word_order,manner,The negotiation was at a critical point.,The police officer,handled skillfully,the tense situation,with years of experience.,The police officer handled skillfully the tense situation with years of experience.,skillfully,generated
105,EN_Word_order,manner,The cake was for a special birthday.,Georgia,artfully arranged,the fresh berries,on the dessert plate.,Georgia artfully arranged the fresh berries on the dessert plate.,artfully,generated
105,FR_Word_order,manner,The cake was for a special birthday.,Georgia,arranged artfully,the fresh berries,on the dessert plate.,Georgia arranged artfully the fresh berries on the dessert plate.,artfully,generated
106,EN_Word_order,manner,He was trying to fix the broken faucet.,Henry,clumsily dropped,the heavy wrench,on the tile floor.,Henry clumsily dropped the heavy wrench on the tile floor.,clumsily,generated
106,FR_Word_order,manner,He was trying to fix the broken faucet.,Henry,dropped clumsily,the heavy wrench,on the tile floor.,Henry dropped clumsily the heavy wrench on the tile floor.,clumsily,generated
107,EN_Word_order,manner,The orchestra was preparing for a big concert.,A young musician,faithfully followed,the conductor's instructions,during the long rehearsal.,A young musician faithfully followed the conductor's instructions during the long rehearsal.,faithfully,generated
107,FR_Word_order,manner,The orchestra was preparing for a big concert.,A young musician,followed faithfully,the conductor's instructions,during the long rehearsal.,A young musician followed faithfully the conductor's instructions during the long rehearsal.,faithfully,generated
108,EN_Word_order,manner,She wanted to choose the perfect gift.,Irene,thoughtfully selected,a classic novel,for her best friend.,Irene thoughtfully selected a classic novel for her best friend.,thoughtfully,generated
108,FR_Word_order,manner,She wanted to choose the perfect gift.,Irene,selected thoughtfully,a classic novel,for her best friend.,Irene selected thoughtfully a classic novel for her best friend.,thoughtfully,generated
109,EN_Word_order,manner,The child had injured his leg on the playground.,Her younger brother,painfully moved,his swollen ankle,inside his new shoe.,Her younger brother painfully moved his swollen ankle inside his new shoe.,painfully,generated
109,FR_Word_order,manner,The child had injured his leg on the playground.,Her younger brother,moved painfully,his swollen ankle,inside his new shoe.,Her younger brother moved painfully his swollen ankle inside his new shoe.,painfully,generated
110,EN_Word_order,manner,The garden design required great accuracy.,The tired gardener,precisely measured,the distance,between the two rose bushes.,The tired gardener precisely measured the distance between the two rose bushes.,precisely,generated
110,FR_Word_order,manner,The garden design required great accuracy.,The tired gardener,measured precisely,the distance,between the two rose bushes.,The tired gardener measured precisely the distance between the two rose bushes.,precisely,generated
111,EN_Word_order,manner,The magician was performing a card trick.,Jack,deftly shuffled,the deck of cards,for the audience.,Jack deftly shuffled the deck of cards for the audience.,deftly,generated
111,FR_Word_order,manner,The magician was performing a card trick.,Jack,shuffled deftly,the deck of cards,for the audience.,Jack shuffled deftly the deck of cards for the audience.,deftly,generated
112,EN_Word_order,manner,The interview was being broadcast live.,That famous author,intently watched,the news anchor,across the studio desk.,That famous author intently watched the news anchor across the studio desk.,intently,generated
112,FR_Word_order,manner,The interview was being broadcast live.,That famous author,watched intently,the news anchor,across the studio desk.,That famous author watched intently the news anchor across the studio desk.,intently,generated
113,EN_Word_order,frequency,David is a big fan of classical music.,David,oftentimes attends,the symphony,on weekends.,David oftentimes attends the symphony on weekends.,oftentimes,generated
113,FR_Word_order,frequency,David is a big fan of classical music.,David,attends oftentimes,the symphony,on weekends.,David attends oftentimes the symphony on weekends.,oftentimes,generated
114,EN_Word_order,frequency,The shop has a large collection of books.,The student,seasonally buys,new textbooks,for her classes.,The student seasonally buys new textbooks for her classes.,seasonally,generated
114,FR_Word_order,frequency,The shop has a large collection of books.,The student,buys seasonally,new textbooks,for her classes.,The student buys seasonally new textbooks for her classes.,seasonally,generated
115,EN_Word_order,frequency,The family has a cabin in the mountains.,Sarah,yearly visits,her grandparents,during the summer.,Sarah yearly visits her grandparents during the summer.,yearly,generated
115,FR_Word_order,frequency,The family has a cabin in the mountains.,Sarah,visits yearly,her grandparents,during the summer.,Sarah visits yearly her grandparents during the summer.,yearly,generated
116,EN_Word_order,frequency,The restaurant owner wants to keep the menu interesting.,The chef,fortnightly changes,the special menu,to attract customers.,The chef fortnightly changes the special menu to attract customers.,fortnightly,generated
116,FR_Word_order,frequency,The restaurant owner wants to keep the menu interesting.,The chef,changes fortnightly,the special menu,to attract customers.,The chef changes fortnightly the special menu to attract customers.,fortnightly,generated
117,EN_Word_order,frequency,Michael's car needs a lot of attention.,Michael,bimonthly checks,the oil level,in his old car.,Michael bimonthly checks the oil level in his old car.,bimonthly,generated
117,FR_Word_order,frequency,Michael's car needs a lot of attention.,Michael,checks bimonthly,the oil level,in his old car.,Michael checks bimonthly the oil level in his old car.,bimonthly,generated
118,EN_Word_order,frequency,The new clinic is extremely busy.,That doctor,hardly takes,a lunch break,before two o'clock.,That doctor hardly takes a lunch break before two o'clock.,hardly,generated
118,FR_Word_order,frequency,The new clinic is extremely busy.,That doctor,takes hardly,a lunch break,before two o'clock.,That doctor takes hardly a lunch break before two o'clock.,hardly,generated
119,EN_Word_order,frequency,The test was incredibly difficult for everyone.,Emily,barely finished,the last question,before the bell rang.,Emily barely finished the last question before the bell rang.,barely,generated
119,FR_Word_order,frequency,The test was incredibly difficult for everyone.,Emily,finished barely,the last question,before the bell rang.,Emily finished barely the last question before the bell rang.,barely,generated
