item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token,source
62,EN_Word_order,manner,The young woman,fluently speaks,three languages,with her international clients.,She grew up in a multicultural household.,The young woman fluently speaks three languages with her international clients.,fluently,generated
62,FR_Word_order,manner,The young woman,speaks fluently,three languages,with her international clients.,She grew up in a multicultural household.,The young woman speaks fluently three languages with her international clients.,fluently,generated
63,EN_Word_order,frequency,Felix,seldom reads,the newspaper,in the morning.,He gets all his information from the internet.,Felix seldom reads the newspaper in the morning.,seldom,generated
63,FR_Word_order,frequency,Felix,reads seldom,the newspaper,in the morning.,He gets all his information from the internet.,Felix reads seldom the newspaper in the morning.,seldom,generated
64,EN_Word_order,frequency,My neighbor,never eats,red meat,for health reasons.,He follows a very strict diet.,My neighbor never eats red meat for health reasons.,never,generated
64,FR_Word_order,frequency,My neighbor,eats never,red meat,for health reasons.,He follows a very strict diet.,My neighbor eats never red meat for health reasons.,never,generated
65,EN_Word_order,frequency,Gloria,daily checks,her email,on her phone.,She likes to stay on top of her correspondence.,Gloria daily checks her email on her phone.,daily,generated
65,FR_Word_order,frequency,Gloria,checks daily,her email,on her phone.,She likes to stay on top of her correspondence.,Gloria checks daily her email on her phone.,daily,generated
66,EN_Word_order,frequency,His cousin,weekly visits,their grandmother,at the nursing home.,The family makes sure someone is always there.,His cousin weekly visits their grandmother at the nursing home.,weekly,generated
66,FR_Word_order,frequency,His cousin,visits weekly,their grandmother,at the nursing home.,The family makes sure someone is always there.,His cousin visits weekly their grandmother at the nursing home.,weekly,generated
67,EN_Word_order,frequency,Henry,monthly pays,his rent,without any delay.,He is a very responsible tenant.,Henry monthly pays his rent without any delay.,monthly,generated
67,FR_Word_order,frequency,Henry,pays monthly,his rent,without any delay.,He is a very responsible tenant.,Henry pays monthly his rent without any delay.,monthly,generated
68,EN_Word_order,frequency,Her boss,annually reviews,the budget,with the finance department.,The company's fiscal year ends in December.,Her boss annually reviews the budget with the finance department.,annually,generated
68,FR_Word_order,frequency,Her boss,reviews annually,the budget,with the finance department.,The company's fiscal year ends in December.,Her boss reviews annually the budget with the finance department.,annually,generated
69,EN_Word_order,frequency,Iris,repeatedly pressed,the doorbell,but nobody answered.,She was sure her friend was home.,Iris repeatedly pressed the doorbell but nobody answered.,repeatedly,generated
69,FR_Word_order,frequency,Iris,pressed repeatedly,the doorbell,but nobody answered.,She was sure her friend was home.,Iris pressed repeatedly the doorbell but nobody answered.,repeatedly,generated
70,EN_Word_order,frequency,The artist,periodically updates,his online portfolio,with new work.,He wants to attract new clients.,The artist periodically updates his online portfolio with new work.,periodically,generated
70,FR_Word_order,frequency,The artist,updates periodically,his online portfolio,with new work.,He wants to attract new clients.,The artist updates periodically his online portfolio with new work.,periodically,generated
71,EN_Word_order,frequency,Jasper,hourly monitored,the experiment,for any changes.,The chemical reaction was very sensitive.,Jasper hourly monitored the experiment for any changes.,hourly,generated
71,FR_Word_order,frequency,Jasper,monitored hourly,the experiment,for any changes.,The chemical reaction was very sensitive.,Jasper monitored hourly the experiment for any changes.,hourly,generated
72,EN_Word_order,frequency,The mechanic,quarterly inspects,the city buses,for safety violations.,Public transportation requires rigorous maintenance.,The mechanic quarterly inspects the city buses for safety violations.,quarterly,generated
72,FR_Word_order,frequency,The mechanic,inspects quarterly,the city buses,for safety violations.,Public transportation requires rigorous maintenance.,The mechanic inspects quarterly the city buses for safety violations.,quarterly,generated
73,EN_Word_order,frequency,The professor,typically assigns,the homework,on Fridays.,The students were discussing their weekly schedule.,The professor typically assigns the homework on Fridays.,typically,generated
73,FR_Word_order,frequency,The professor,assigns typically,the homework,on Fridays.,The students were discussing their weekly schedule.,The professor assigns typically the homework on Fridays.,typically,generated
74,EN_Word_order,frequency,My neighbor,intermittently plays,loud music,throughout the night.,It was hard to get a good night's sleep.,My neighbor intermittently plays loud music throughout the night.,intermittently,generated
74,FR_Word_order,frequency,My neighbor,plays intermittently,loud music,throughout the night.,It was hard to get a good night's sleep.,My neighbor plays intermittently loud music throughout the night.,intermittently,generated
75,EN_Word_order,frequency,The old baker,habitually bakes,fresh bread,before sunrise.,The whole street smelled wonderful in the morning.,The old baker habitually bakes fresh bread before sunrise.,habitually,generated
75,FR_Word_order,frequency,The old baker,bakes habitually,fresh bread,before sunrise.,The whole street smelled wonderful in the morning.,The old baker bakes habitually fresh bread before sunrise.,habitually,generated
76,EN_Word_order,frequency,Sarah,infrequently wears,her glasses,in public.,Most people did not even know she needed them.,Sarah infrequently wears her glasses in public.,infrequently,generated
76,FR_Word_order,frequency,Sarah,wears infrequently,her glasses,in public.,Most people did not even know she needed them.,Sarah wears infrequently her glasses in public.,infrequently,generated
77,EN_Word_order,frequency,That company,consistently delivers,quality products,to its customers.,The business has a great reputation.,That company consistently delivers quality products to its customers.,consistently,generated
77,FR_Word_order,frequency,That company,delivers consistently,quality products,to its customers.,The business has a great reputation.,That company delivers consistently quality products to its customers.,consistently,generated
78,EN_Word_order,frequency,David,normally drinks,black coffee,in the morning.,He needs caffeine to start his day.,David normally drinks black coffee in the morning.,normally,generated
78,FR_Word_order,frequency,David,drinks normally,black coffee,in the morning.,He needs caffeine to start his day.,David drinks normally black coffee in the morning.,normally,generated
79,EN_Word_order,frequency,The toddler,perpetually asks,difficult questions,during car rides.,His parents were running out of answers.,The toddler perpetually asks difficult questions during car rides.,perpetually,generated
79,FR_Word_order,frequency,The toddler,asks perpetually,difficult questions,during car rides.,His parents were running out of answers.,The toddler asks perpetually difficult questions during car rides.,perpetually,generated
80,EN_Word_order,frequency,Our cat,sporadically catches,a mouse,in the garden.,We never know when we will find a surprise.,Our cat sporadically catches a mouse in the garden.,sporadically,generated
80,FR_Word_order,frequency,Our cat,catches sporadically,a mouse,in the garden.,We never know when we will find a surprise.,Our cat catches sporadically a mouse in the garden.,sporadically,generated
81,EN_Word_order,frequency,The machine,continuously processes,the data,without any breaks.,The experiment required around-the-clock monitoring.,The machine continuously processes the data without any breaks.,continuously,generated
81,FR_Word_order,frequency,The machine,processes continuously,the data,without any breaks.,The experiment required around-the-clock monitoring.,The machine processes continuously the data without any breaks.,continuously,generated
82,EN_Word_order,frequency,Mr. Harris,recurrently tells,the same story,at family gatherings.,Everyone knew the punchline by heart.,Mr. Harris recurrently tells the same story at family gatherings.,recurrently,generated
82,FR_Word_order,frequency,Mr. Harris,tells recurrently,the same story,at family gatherings.,Everyone knew the punchline by heart.,Mr. Harris tells recurrently the same story at family gatherings.,recurrently,generated
83,EN_Word_order,manner,The children,happily ate,the ice cream,on the sunny afternoon.,It was a special treat for them.,The children happily ate the ice cream on the sunny afternoon.,happily,generated
83,FR_Word_order,manner,The children,ate happily,the ice cream,on the sunny afternoon.,It was a special treat for them.,The children ate happily the ice cream on the sunny afternoon.,happily,generated
84,EN_Word_order,manner,The old man,sadly packed,his belongings,into a small suitcase.,He had to leave his home of fifty years.,The old man sadly packed his belongings into a small suitcase.,sadly,generated
84,FR_Word_order,manner,The old man,packed sadly,his belongings,into a small suitcase.,He had to leave his home of fifty years.,The old man packed sadly his belongings into a small suitcase.,sadly,generated
85,EN_Word_order,manner,My boss,angrily slammed,the door,behind him.,The quarterly report was not what he expected.,My boss angrily slammed the door behind him.,angrily,generated
85,FR_Word_order,manner,My boss,slammed angrily,the door,behind him.,The quarterly report was not what he expected.,My boss slammed angrily the door behind him.,angrily,generated
86,EN_Word_order,manner,The firefighter,bravely entered,the burning building,to rescue the family.,The smoke was getting thicker every second.,The firefighter bravely entered the burning building to rescue the family.,bravely,generated
86,FR_Word_order,manner,The firefighter,entered bravely,the burning building,to rescue the family.,The smoke was getting thicker every second.,The firefighter entered bravely the burning building to rescue the family.,bravely,generated
87,EN_Word_order,manner,The spy,cautiously opened,the secret file,in the dead of night.,The information inside could change everything.,The spy cautiously opened the secret file in the dead of night.,cautiously,generated
87,FR_Word_order,manner,The spy,opened cautiously,the secret file,in the dead of night.,The information inside could change everything.,The spy opened cautiously the secret file in the dead of night.,cautiously,generated
88,EN_Word_order,manner,The teacher,clearly explained,the difficult concept,to her students.,The final exam was just a week away.,The teacher clearly explained the difficult concept to her students.,clearly,generated
88,FR_Word_order,manner,The teacher,explained clearly,the difficult concept,to her students.,The final exam was just a week away.,The teacher explained clearly the difficult concept to her students.,clearly,generated
89,EN_Word_order,manner,The politician,deliberately ignored,the reporter's question,during the press conference.,The topic was quite sensitive for the campaign.,The politician deliberately ignored the reporter's question during the press conference.,deliberately,generated
89,FR_Word_order,manner,The politician,ignored deliberately,the reporter's question,during the press conference.,The topic was quite sensitive for the campaign.,The politician ignored deliberately the reporter's question during the press conference.,deliberately,generated
90,EN_Word_order,manner,The dog,enthusiastically greeted,its owner,at the front door.,The man had been away on a long trip.,The dog enthusiastically greeted its owner at the front door.,enthusiastically,generated
90,FR_Word_order,manner,The dog,greeted enthusiastically,its owner,at the front door.,The man had been away on a long trip.,The dog greeted enthusiastically its owner at the front door.,enthusiastically,generated
91,EN_Word_order,manner,The ballerina,gracefully executed,a perfect pirouette,on the main stage.,The audience watched in complete silence.,The ballerina gracefully executed a perfect pirouette on the main stage.,gracefully,generated
91,FR_Word_order,manner,The ballerina,executed gracefully,a perfect pirouette,on the main stage.,The audience watched in complete silence.,The ballerina executed gracefully a perfect pirouette on the main stage.,gracefully,generated
92,EN_Word_order,manner,A nervous student,hastily wrote,the final answer,before time ran out.,The exam was almost over.,A nervous student hastily wrote the final answer before time ran out.,hastily,generated
92,FR_Word_order,manner,A nervous student,wrote hastily,the final answer,before time ran out.,The exam was almost over.,A nervous student wrote hastily the final answer before time ran out.,hastily,generated
93,EN_Word_order,frequency,The new student,scarcely questions,the librarian's authority,during study hours.,The library has very strict rules.,The new student scarcely questions the librarian's authority during study hours.,scarcely,generated
93,FR_Word_order,frequency,The new student,questions scarcely,the librarian's authority,during study hours.,The library has very strict rules.,The new student questions scarcely the librarian's authority during study hours.,scarcely,generated
94,EN_Word_order,frequency,Alice,routinely checks,her work email,for any phishing attempts.,The company has a new security protocol.,Alice routinely checks her work email for any phishing attempts.,routinely,generated
94,FR_Word_order,frequency,Alice,checks routinely,her work email,for any phishing attempts.,The company has a new security protocol.,Alice checks routinely her work email for any phishing attempts.,routinely,generated
95,EN_Word_order,frequency,The old man,customarily reads,the newspaper,before his breakfast.,It was a very traditional household.,The old man customarily reads the newspaper before his breakfast.,customarily,generated
95,FR_Word_order,frequency,The old man,reads customarily,the newspaper,before his breakfast.,It was a very traditional household.,The old man reads customarily the newspaper before his breakfast.,customarily,generated
96,EN_Word_order,frequency,Ben,ordinarily wears,a heavy coat,in the wintertime.,The weekend weather was surprisingly sunny.,Ben ordinarily wears a heavy coat in the wintertime.,ordinarily,generated
96,FR_Word_order,frequency,Ben,wears ordinarily,a heavy coat,in the wintertime.,The weekend weather was surprisingly sunny.,Ben wears ordinarily a heavy coat in the wintertime.,ordinarily,generated
97,EN_Word_order,frequency,That chef,uncommonly uses,saffron,in his dessert recipes.,That particular spice is quite expensive.,That chef uncommonly uses saffron in his dessert recipes.,uncommonly,generated
97,FR_Word_order,frequency,That chef,uses uncommonly,saffron,in his dessert recipes.,That particular spice is quite expensive.,That chef uses uncommonly saffron in his dessert recipes.,uncommonly,generated
98,EN_Word_order,frequency,Clara,exceptionally misses,a homework assignment,throughout the school year.,She is a model student with perfect grades.,Clara exceptionally misses a homework assignment throughout the school year.,exceptionally,generated
98,FR_Word_order,frequency,Clara,misses exceptionally,a homework assignment,throughout the school year.,She is a model student with perfect grades.,Clara misses exceptionally a homework assignment throughout the school year.,exceptionally,generated
99,EN_Word_order,frequency,The local artist,perennially sells,his landscape paintings,at the weekend market.,The town square is a popular gathering place.,The local artist perennially sells his landscape paintings at the weekend market.,perennially,generated
99,FR_Word_order,frequency,The local artist,sells perennially,his landscape paintings,at the weekend market.,The town square is a popular gathering place.,The local artist sells perennially his landscape paintings at the weekend market.,perennially,generated
100,EN_Word_order,frequency,David,invariably chooses,the chicken salad,for his lunch.,He loves following a strict schedule.,David invariably chooses the chicken salad for his lunch.,invariably,generated
100,FR_Word_order,frequency,David,chooses invariably,the chicken salad,for his lunch.,He loves following a strict schedule.,David chooses invariably the chicken salad for his lunch.,invariably,generated
101,EN_Word_order,frequency,Eleanor,ceaselessly promotes,her chosen charity,with great determination.,The activist was very passionate about her cause.,Eleanor ceaselessly promotes her chosen charity with great determination.,ceaselessly,generated
101,FR_Word_order,frequency,Eleanor,promotes ceaselessly,her chosen charity,with great determination.,The activist was very passionate about her cause.,Eleanor promotes ceaselessly her chosen charity with great determination.,ceaselessly,generated
102,EN_Word_order,frequency,My neighbor,conventionally serves,turkey,for Thanksgiving dinner.,The family enjoys traditional holiday meals.,My neighbor conventionally serves turkey for Thanksgiving dinner.,conventionally,generated
102,FR_Word_order,frequency,My neighbor,serves conventionally,turkey,for Thanksgiving dinner.,The family enjoys traditional holiday meals.,My neighbor serves conventionally turkey for Thanksgiving dinner.,conventionally,generated
103,EN_Word_order,manner,Frank,awkwardly held,his partner's hand,during the waltz lesson.,The boy was new to dancing.,Frank awkwardly held his partner's hand during the waltz lesson.,awkwardly,generated
103,FR_Word_order,manner,Frank,held awkwardly,his partner's hand,during the waltz lesson.,The boy was new to dancing.,Frank held awkwardly his partner's hand during the waltz lesson.,awkwardly,generated
104,EN_Word_order,manner,The police officer,skillfully handled,the tense situation,with years of experience.,The negotiation was at a critical point.,The police officer skillfully handled the tense situation with years of experience.,skillfully,generated
104,FR_Word_order,manner,The police officer,handled skillfully,the tense situation,with years of experience.,The negotiation was at a critical point.,The police officer handled skillfully the tense situation with years of experience.,skillfully,generated
105,EN_Word_order,manner,Georgia,artfully arranged,the fresh berries,on the dessert plate.,The cake was for a special birthday.,Georgia artfully arranged the fresh berries on the dessert plate.,artfully,generated
105,FR_Word_order,manner,Georgia,arranged artfully,the fresh berries,on the dessert plate.,The cake was for a special birthday.,Georgia arranged artfully the fresh berries on the dessert plate.,artfully,generated
106,EN_Word_order,manner,Henry,clumsily dropped,the heavy wrench,on the tile floor.,He was trying to fix the broken faucet.,Henry clumsily dropped the heavy wrench on the tile floor.,clumsily,generated
106,FR_Word_order,manner,Henry,dropped clumsily,the heavy wrench,on the tile floor.,He was trying to fix the broken faucet.,Henry dropped clumsily the heavy wrench on the tile floor.,clumsily,generated
107,EN_Word_order,manner,A young musician,faithfully followed,the conductor's instructions,during the long rehearsal.,The orchestra was preparing for a big concert.,A young musician faithfully followed the conductor's instructions during the long rehearsal.,faithfully,generated
107,FR_Word_order,manner,A young musician,followed faithfully,the conductor's instructions,during the long rehearsal.,The orchestra was preparing for a big concert.,A young musician followed faithfully the conductor's instructions during the long rehearsal.,faithfully,generated
108,EN_Word_order,manner,Irene,thoughtfully selected,a classic novel,for her best friend.,She wanted to choose the perfect gift.,Irene thoughtfully selected a classic novel for her best friend.,thoughtfully,generated
108,FR_Word_order,manner,Irene,selected thoughtfully,a classic novel,for her best friend.,She wanted to choose the perfect gift.,Irene selected thoughtfully a classic novel for her best friend.,thoughtfully,generated
109,EN_Word_order,manner,Her younger brother,painfully moved,his swollen ankle,inside his new shoe.,The child had injured his leg on the playground.,Her younger brother painfully moved his swollen ankle inside his new shoe.,painfully,generated
109,FR_Word_order,manner,Her younger brother,moved painfully,his swollen ankle,inside his new shoe.,The child had injured his leg on the playground.,Her younger brother moved painfully his swollen ankle inside his new shoe.,painfully,generated
110,EN_Word_order,manner,The tired gardener,precisely measured,the distance,between the two rose bushes.,The garden design required great accuracy.,The tired gardener precisely measured the distance between the two rose bushes.,precisely,generated
110,FR_Word_order,manner,The tired gardener,measured precisely,the distance,between the two rose bushes.,The garden design required great accuracy.,The tired gardener measured precisely the distance between the two rose bushes.,precisely,generated
111,EN_Word_order,manner,Jack,deftly shuffled,the deck of cards,for the audience.,The magician was performing a card trick.,Jack deftly shuffled the deck of cards for the audience.,deftly,generated
111,FR_Word_order,manner,Jack,shuffled deftly,the deck of cards,for the audience.,The magician was performing a card trick.,Jack shuffled deftly the deck of cards for the audience.,deftly,generated
112,EN_Word_order,manner,That famous author,intently watched,the news anchor,across the studio desk.,The interview was being broadcast live.,That famous author intently watched the news anchor across the studio desk.,intently,generated
112,FR_Word_order,manner,That famous author,watched intently,the news anchor,across the studio desk.,The interview was being broadcast live.,That famous author watched intently the news anchor across the studio desk.,intently,generated
113,EN_Word_order,frequency,David,oftentimes attends,the symphony,on weekends.,David is a big fan of classical music.,David oftentimes attends the symphony on weekends.,oftentimes,generated
113,FR_Word_order,frequency,David,attends oftentimes,the symphony,on weekends.,David is a big fan of classical music.,David attends oftentimes the symphony on weekends.,oftentimes,generated
114,EN_Word_order,frequency,The student,seasonally buys,new textbooks,for her classes.,The shop has a large collection of books.,The student seasonally buys new textbooks for her classes.,seasonally,generated
114,FR_Word_order,frequency,The student,buys seasonally,new textbooks,for her classes.,The shop has a large collection of books.,The student buys seasonally new textbooks for her classes.,seasonally,generated
115,EN_Word_order,frequency,Sarah,yearly visits,her grandparents,during the summer.,The family has a cabin in the mountains.,Sarah yearly visits her grandparents during the summer.,yearly,generated
115,FR_Word_order,frequency,Sarah,visits yearly,her grandparents,during the summer.,The family has a cabin in the mountains.,Sarah visits yearly her grandparents during the summer.,yearly,generated
116,EN_Word_order,frequency,The chef,fortnightly changes,the special menu,to attract customers.,The restaurant owner wants to keep the menu interesting.,The chef fortnightly changes the special menu to attract customers.,fortnightly,generated
116,FR_Word_order,frequency,The chef,changes fortnightly,the special menu,to attract customers.,The restaurant owner wants to keep the menu interesting.,The chef changes fortnightly the special menu to attract customers.,fortnightly,generated
117,EN_Word_order,frequency,Michael,bimonthly checks,the oil level,in his old car.,Michael's car needs a lot of attention.,Michael bimonthly checks the oil level in his old car.,bimonthly,generated
117,FR_Word_order,frequency,Michael,checks bimonthly,the oil level,in his old car.,Michael's car needs a lot of attention.,Michael checks bimonthly the oil level in his old car.,bimonthly,generated
118,EN_Word_order,frequency,That doctor,hardly takes,a lunch break,before two o'clock.,The new clinic is extremely busy.,That doctor hardly takes a lunch break before two o'clock.,hardly,generated
118,FR_Word_order,frequency,That doctor,takes hardly,a lunch break,before two o'clock.,The new clinic is extremely busy.,That doctor takes hardly a lunch break before two o'clock.,hardly,generated
119,EN_Word_order,frequency,Emily,barely finished,the last question,before the bell rang.,The test was incredibly difficult for everyone.,Emily barely finished the last question before the bell rang.,barely,generated
119,FR_Word_order,frequency,Emily,finished barely,the last question,before the bell rang.,The test was incredibly difficult for everyone.,Emily finished barely the last question before the bell rang.,barely,generated
