item_no,condition,advTYPE,region1_text,region2_text,region3_text,region4_text,context_sentence,full_sentence,critical_token
SVadvP_14,FR_Word_order,frequency,The students, submit always, their essays, before deadlines.,There is no difficult assignment for this online course.,The students submit always their essays before deadlines.,always
SVadvP_15,FR_Word_order,frequency,The woman, bought sometimes, a sandwich, for lunch.,That store sells great sandwiches.,The woman bought sometimes a sandwich for lunch.,sometimes
SVadvP_16,FR_Word_order,frequency,John, saves usually, ten dollars, every day.,Some people like to save money for the future.,John saves usually ten dollars every day.,usually
SVadvP_17,FR_Word_order,manner,That lady, washed quickly, her clothes, with her own hands.,There was a power outage going on.,That lady washed quickly her clothes with her own hands.,quickly
SVadvP_18,FR_Word_order,manner,Winston, moved slowly, his feet, after seeing the wolf.,It's not easy to run away from a wild animal.,Winston moved slowly his feet after seeing the wolf.,slowly
SVadvP_19,FR_Word_order,manner,The man, checked quietly, the door, before he closed it.,Everybody was sleeping.,The man checked quietly the door before he closed it.,quietly
SVadvP_20,FR_Word_order,manner,Tracy, shot carefully, the last ball, before the game ended.,This is a fantastic basketball game.,Tracy shot carefully the last ball before the game ended.,carefully
SVadvP_21,FR_Word_order,manner,The man, discovered suddenly, a cloak, in the old garage.,No one has been to that house recently.,The man discovered suddenly a cloak in the old garage.,suddenly
SVadvP_22,FR_Word_order,manner,Harry, swang quickly, his wand, for an old spell.,Enemies were approaching.,Harry swang quickly his wand for an old spell.,quickly
SVadvP_23,FR_Word_order,manner,That lady, peeled slowly, a banana, before making coffee.,It was a beautiful morning.,That lady peeled slowly a banana before making coffee.,slowly
SVadvP_24,FR_Word_order,manner,John, cleans quietly, the surface, every afternoon.,There is an old car in the yard.,John cleans quietly the surface every afternoon.,quietly
SVadvP_25,FR_Word_order,manner,Mary, held carefully, the paper, after finishing talking.,The meeting was already over.,Mary held carefully the paper after finishing talking.,carefully
SVadvP_26,FR_Word_order,manner,The manager, shredded suddenly, the script paper, after the speech.,Nobody wanted to say a word.,The manager shredded suddenly the script paper after the speech.,suddenly
SVadvP_27,FR_Word_order,manner,Michael, closed quickly, the window, in the corner.,A storm was just on the way.,Michael closed quickly the window in the corner.,quickly
SVadvP_28,FR_Word_order,manner,Linda, opened slowly, that book, on the table. ,"Again, it was the reading time.",Linda opened slowly that book on the table.,slowly
SVadvP_29,FR_Word_order,manner,The boy, sent quietly, an email, through his phone.,Nobody was listening to the host speaking.,The boy sent quietly an email through his phone.,quietly
SVadvP_30,FR_Word_order,manner,The man, removed carefully, the hook, before leaving.,There was not a single fish in the river.,The man removed carefully the hook before leaving.,carefully
SVadvP_31,FR_Word_order,manner,The policeman, entered suddenly, the hall, through a window.,Everybody was watching the show.,The policeman entered suddenly the hall through a window.,suddenly
SVadvP_32,FR_Word_order,manner,That woman, combed quickly, her hair, before leaving home.,It was 10am on a Monday.,That woman combed quickly her hair before leaving home.,quickly
SadvPV_01,EN_Word_order,frequency,John,often watches,television,at home.,Everybody has a hobby.,John often watches television at home.,often
SadvPV_02,EN_Word_order,frequency,Mary, always cleans, her backpack, after school.,It is funny to talk about someone's habits.,Mary always cleans her backpack after school.,always
SadvPV_03,EN_Word_order,frequency,Tom, sometimes bought, flower seeds, before dinner.,Some people just like to do gardening themselves.,Tom sometimes bought flower seeds before dinner.,sometimes
SadvPV_04,EN_Word_order,frequency,Jimmy, usually sells, blue berries, in the garage.,Garage sales are interesting.,Jimmy usually sells blue berries in the garage.,usually
SadvPV_05,EN_Word_order,frequency,Kevin, often reads, a storybook, on the plane.,It is boring to spend several hours on a flight.,Kevin often reads a storybook on the plane.,often
SadvPV_06,EN_Word_order,frequency,The boy, always catches, big fish, in that river.,There is a river nearby their house.,The boy always catches big fish in that river.,always
SadvPV_07,EN_Word_order,frequency,That girl, sometimes heard, loud music, during sleeping.,It is a big house with six bedrooms.,That girl sometimes heard loud music during sleeping.,sometimes
SadvPV_08,EN_Word_order,frequency,The dog, usually catches, a frisbee, in the yard.,Nobody knows how big their yard is.,The dog usually catches a frisbee in the yard.,usually
SadvPV_09,EN_Word_order,frequency,Lisa, suddenly changed, her path, after hanging up the phone.,There was a storm coming.,Lisa suddenly changed her path after hanging up the phone.,suddenly
SadvPV_10,EN_Word_order,frequency,Linda, always cooks, sweet food, for the holidays.,Many people like to cook at home.,Linda always cooks sweet food for the holidays.,always
SadvPV_11,EN_Word_order,frequency,The man, sometimes transferred, some money, with a mobile phone.,There are many ways to pay a bill.,The man sometimes transferred some money with a mobile phone.,sometimes
SadvPV_12,EN_Word_order,frequency,The girl, usually drops, three coins, for the beggar.,There is always a beggar sitting beside the gate.,The girl usually drops three coins for the beggar.,usually
SadvPV_13,EN_Word_order,frequency,That driver, often drinks, some wine, after coming home.,It is exhausting to drive for a whole day.,That driver often drinks some wine after coming home.,often
SadvPV_14,EN_Word_order,frequency,The students, always submit, their essays, before deadlines.,There is no difficult assignment for this online course.,The students always submit their essays before deadlines.,always
SadvPV_15,EN_Word_order,frequency,The woman, sometimes bought, a sandwich, for lunch.,That store sells great sandwiches.,The woman sometimes bought a sandwich for lunch.,sometimes
SadvPV_16,EN_Word_order,frequency,John, usually saves, ten dollars, every day.,Some people like to save money for the future.,John usually saves ten dollars every day.,usually
SadvPV_17,EN_Word_order,manner,That lady, quickly washed, her clothes, with her own hands.,There was a power outage going on.,That lady quickly washed her clothes with her own hands.,quickly
SadvPV_18,EN_Word_order,manner,Winston, slowly moved, his feet, after seeing the wolf.,It's not easy to run away from a wild animal.,Winston slowly moved his feet after seeing the wolf.,slowly
SadvPV_19,EN_Word_order,manner,The man, quietly checked, the door, before he closed it.,Everybody was sleeping.,The man quietly checked the door before he closed it.,quietly
SadvPV_20,EN_Word_order,manner,Tracy, carefully shot, the last ball, before the game ended.,This is a fantastic basketball game.,Tracy carefully shot the last ball before the game ended.,carefully
SadvPV_21,EN_Word_order,manner,The man, suddenly discovered, a cloak, in the old garage.,No one has been to that house recently.,The man suddenly discovered a cloak in the old garage.,suddenly
SadvPV_22,EN_Word_order,manner,Harry, quickly swang, his wand, for an old spell.,Enemies were approaching.,Harry quickly swang his wand for an old spell.,quickly
SadvPV_23,EN_Word_order,manner,That lady, slowly peeled, a banana, before making coffee.,It was a beautiful morning.,That lady slowly peeled a banana before making coffee.,slowly
SadvPV_24,EN_Word_order,manner,John, quietly cleans, the surface, every afternoon.,There is an old car in the yard.,John quietly cleans the surface every afternoon.,quietly
SadvPV_25,EN_Word_order,manner,Mary, carefully held, the paper, after finishing talking.,The meeting was already over.,Mary carefully held the paper after finishing talking.,carefully
SadvPV_26,EN_Word_order,manner,The manager, suddenly shredded, the script paper, after the speech.,Nobody wanted to say a word.,The manager suddenly shredded the script paper after the speech.,suddenly
SadvPV_27,EN_Word_order,manner,Michael,quickly closed,the window,in the corner.,A storm was just on the way.,Michael quickly closed the window in the corner.,quickly
SadvPV_28,EN_Word_order,manner,Linda, slowly opened, that book, on the table. ,"Again, it was the reading time.",Linda slowly opened that book on the table.,slowly
SadvPV_29,EN_Word_order,manner,The boy, quietly sent, an email, through his phone.,Nobody was listening to the host speaking.,The boy quietly sent an email through his phone.,quietly
SadvPV_30,EN_Word_order,manner,The man, carefully removed, the hook, before leaving.,There was not a single fish in the river.,The man carefully removed the hook before leaving.,carefully
SadvPV_31,EN_Word_order,manner,The policeman, suddenly entered, the hall, through a window.,Everybody was watching the show.,The policeman suddenly entered the hall through a window.,suddenly
SadvPV_32,EN_Word_order,manner,That woman, quickly combed, her hair, before leaving home.,It was 10am on a Monday.,That woman quickly combed her hair before leaving home.,quickly
