participant,group,condition,item_no,advTYPE,context_sentence,region1_text,region2_text,region3_text,region4_text,full_sentence,critical_token,R1_rt,R2_rt,R3_rt,R4_rt,R2_rt_resid,R3_rt_resid
7135913,Monolinguals,FR_Word_order,SVadvP_20,manner,This is a fantastic basketball game.,Tracy, shot carefully, the last ball, before the game ended.,Tracy shot carefully the last ball before the game ended.,carefully,469.0,797.0,870.0,915.0,-519.8499811718725,-277.03267919939185
7135913,Monolinguals,FR_Word_order,SVadvP_06,frequency,There is a river nearby their house.,The boy, catches always, big fish, in that river.,The boy catches always big fish in that river.,always,801.0,1589.0,875.0,1046.0,272.1500188281275,-221.54849546121386
7135913,Monolinguals,FR_Word_order,SVadvP_04,frequency,Garage sales are interesting.,Jimmy, sells usually, blue berries, in the garage.,Jimmy sells usually blue berries in the garage.,usually,531.0,1155.0,1184.0,1528.0,-142.92484700590398,47.06415754824366
7135913,Monolinguals,FR_Word_order,SVadvP_22,manner,Enemies were approaching.,Harry, swang quickly, his wand, for an old spell.,Harry swang quickly his wand for an old spell.,quickly,733.0,1298.0,955.0,1169.0,0.07515299409601539,-141.54849546121386
7135913,Monolinguals,FR_Word_order,SVadvP_01,frequency,Everybody has a hobby.,John, watches often, television, at home.,John watches often television at home.,often,529.0,1095.0,2074.0,705.0,-202.92484700590398,957.2578310435149
7135913,Monolinguals,FR_Word_order,SVadvP_24,manner,There is an old car in the yard.,John, cleans quietly, the surface, every afternoon.,John cleans quietly the surface every afternoon.,quietly,565.0,892.0,1101.0,997.0,-424.8499811718725,-25.83900570412061
7135913,Monolinguals,FR_Word_order,SVadvP_05,frequency,It is boring to spend several hours on a flight.,Kevin, reads often, a storybook, on the plane.,Kevin reads often a storybook on the plane.,often,676.0,817.0,664.0,1176.0,-443.0745786739669,-462.8390057041206
7135913,Monolinguals,EN_Word_order,SadvPV_14,frequency,There is no difficult assignment for this online course.,The students, always submit, their essays, before deadlines.,The students always submit their essays before deadlines.,always,764.0,809.0,655.0,1100.0,-488.924847005904,-481.93584245175634
7135913,Monolinguals,FR_Word_order,SVadvP_07,frequency,It is a big house with six bedrooms.,That girl, heard sometimes, loud music, during sleeping.,That girl heard sometimes loud music during sleeping.,sometimes,763.0,1730.0,892.0,1056.0,394.22488466215896,-224.7421689564851
7135913,Monolinguals,FR_Word_order,SVadvP_08,frequency,Nobody knows how big their yard is.,The dog, catches usually, a frisbee, in the yard.,The dog catches usually a frisbee in the yard.,usually,705.0,2097.0,969.0,846.0,761.224884662159,-137.6453322088496
7135913,Monolinguals,EN_Word_order,SadvPV_29,manner,Nobody was listening to the host speaking.,The boy, quietly sent, an email, through his phone.,The boy quietly sent an email through his phone.,quietly,832.0,1963.0,841.0,679.0,684.0002871600645,-255.54849546121386
7135913,Monolinguals,FR_Word_order,SVadvP_21,manner,No one has been to that house recently.,The man, discovered suddenly, a cloak, in the old garage.,The man discovered suddenly a cloak in the old garage.,suddenly,602.0,953.0,743.0,1159.0,-458.47565200171516,-343.45165871357835
7135913,Monolinguals,EN_Word_order,SadvPV_30,manner,There was not a single fish in the river.,The man, carefully removed, the hook, before leaving.,The man carefully removed the hook before leaving.,carefully,516.0,857.0,757.0,778.0,-516.6253836697781,-339.54849546121386
7135913,Monolinguals,EN_Word_order,SadvPV_10,frequency,Many people like to cook at home.,Linda, always cooks, sweet food, for the holidays.,Linda always cooks sweet food for the holidays.,always,640.0,736.0,884.0,920.0,-542.9997128399355,-232.7421689564851
7135913,Monolinguals,EN_Word_order,SadvPV_15,frequency,That store sells great sandwiches.,The woman, sometimes bought, a sandwich, for lunch.,The woman sometimes bought a sandwich for lunch.,sometimes,622.0,1015.0,721.0,901.0,-339.7002495038096,-395.7421689564851
7135913,Monolinguals,EN_Word_order,SadvPV_11,frequency,There are many ways to pay a bill.,The man, sometimes transferred, some money, with a mobile phone.,The man sometimes transferred some money with a mobile phone.,sometimes,527.0,861.0,737.0,803.0,-588.3259203336524,-379.7421689564851
7135913,Monolinguals,FR_Word_order,SVadvP_17,manner,There was a power outage going on.,That lady, washed quickly, her clothes, with her own hands.,That lady washed quickly her clothes with her own hands.,quickly,1091.0,1137.0,718.0,768.0,-179.8499811718725,-408.8390057041206
7135913,Monolinguals,EN_Word_order,SadvPV_32,manner,It was 10am on a Monday.,That woman, quickly combed, her hair, before leaving home.,That woman quickly combed her hair before leaving home.,quickly,605.0,963.0,452.0,1157.0,-353.8499811718725,-644.5484954612139
7135913,Monolinguals,FR_Word_order,SVadvP_02,frequency,It is funny to talk about someone's habits.,Mary, cleans always, her backpack, after school.,Mary cleans always her backpack after school.,always,660.0,1066.0,896.0,1016.0,-231.92484700590398,-240.93584245175634
7136881,Monolinguals,EN_Word_order,SadvPV_25,manner,The meeting was already over.,Mary, carefully held, the paper, after finishing talking.,Mary carefully held the paper after finishing talking.,carefully,561.0,1219.9,861.3,1993.6,-96.94998117187242,-245.34533220884964
7136881,Monolinguals,FR_Word_order,SVadvP_02,frequency,It is funny to talk about someone's habits.,Mary, cleans always, her backpack, after school.,Mary cleans always her backpack after school.,always,564.6,,1222.6,1136.9,,85.66415754824357
7136881,Monolinguals,EN_Word_order,SadvPV_09,frequency,There was a storm coming.,Lisa, suddenly changed, her path, after hanging up the phone.,Lisa suddenly changed her path after hanging up the phone.,suddenly,621.4,1357.8,770.0,1071.1,3.0997504961903815,-326.54849546121386
7136881,Monolinguals,EN_Word_order,SadvPV_31,manner,Everybody was watching the show.,The policeman, suddenly entered, the hall, through a window.,The policeman suddenly entered the hall through a window.,suddenly,621.5,1084.1,803.8,950.9,-270.60024950380966,-292.7484954612139
7136881,Monolinguals,FR_Word_order,SVadvP_18,manner,It's not easy to run away from a wild animal.,Winston, moved slowly, his feet, after seeing the wolf.,Winston moved slowly his feet after seeing the wolf.,slowly,503.5,955.2,866.5,,-323.7997128399354,-230.04849546121386
7136881,Monolinguals,EN_Word_order,SadvPV_11,frequency,There are many ways to pay a bill.,The man, sometimes transferred, some money, with a mobile phone.,The man sometimes transferred some money with a mobile phone.,sometimes,580.1,1124.8,876.7,1115.4,-324.5259203336525,-240.04216895648506
7136881,Monolinguals,FR_Word_order,SVadvP_08,frequency,Nobody knows how big their yard is.,The dog, catches usually, a frisbee, in the yard.,The dog catches usually a frisbee in the yard.,usually,614.1,2278.8,2352.6,948.6,943.0248846621591,1245.9546677911503
7136881,Monolinguals,EN_Word_order,SadvPV_28,manner,"Again, it was the reading time.",Linda, slowly opened, that book, on the table. ,Linda slowly opened that book on the table.,slowly,571.6,949.8,1135.2,956.8,-348.12484700590403,28.55466779115045
7136881,Monolinguals,EN_Word_order,SadvPV_10,frequency,Many people like to cook at home.,Linda, always cooks, sweet food, for the holidays.,Linda always cooks sweet food for the holidays.,always,547.9,940.6,842.4,871.6,-338.39971283993543,-274.3421689564851
7136881,Monolinguals,EN_Word_order,SadvPV_14,frequency,There is no difficult assignment for this online course.,The students, always submit, their essays, before deadlines.,The students always submit their essays before deadlines.,always,504.5,666.0,542.7,742.4,-631.924847005904,-594.2358424517563
7136881,Monolinguals,EN_Word_order,SadvPV_15,frequency,That store sells great sandwiches.,The woman, sometimes bought, a sandwich, for lunch.,The woman sometimes bought a sandwich for lunch.,sometimes,533.0,739.0,595.7,662.1,-615.7002495038096,-521.042168956485
7136881,Monolinguals,FR_Word_order,SVadvP_07,frequency,It is a big house with six bedrooms.,That girl, heard sometimes, loud music, during sleeping.,That girl heard sometimes loud music during sleeping.,sometimes,471.0,1621.8,949.7,1686.4,286.0248846621589,-167.04216895648506
7136881,Monolinguals,EN_Word_order,SadvPV_13,frequency,It is exhausting to drive for a whole day.,That driver, often drinks, some wine, after coming home.,That driver often drinks some wine after coming home.,often,565.6,1660.8,801.6,904.5,381.8002871600645,-305.0453322088496
7136881,Monolinguals,EN_Word_order,SadvPV_27,manner,A storm was just on the way.,Michael,quickly closed,the window,in the corner.,Michael quickly closed the window in the corner.,quickly,560.4,665.0,808.3,912.6,-632.924847005904,-298.34533220884964
7136881,Monolinguals,FR_Word_order,SVadvP_19,manner,Everybody was sleeping.,The man, checked quietly, the door, before he closed it.,The man checked quietly the door before he closed it.,quietly,425.8,1340.2,680.6,1128.2,4.424884662159002,-415.94849546121384
7136881,Monolinguals,EN_Word_order,SadvPV_16,frequency,Some people like to save money for the future.,John, usually saves, ten dollars, every day.,John usually saves ten dollars every day.,usually,517.2,776.0,714.7,1016.7,-521.924847005904,-412.13900570412056
7136881,Monolinguals,FR_Word_order,SVadvP_04,frequency,Garage sales are interesting.,Jimmy, sells usually, blue berries, in the garage.,Jimmy sells usually blue berries in the garage.,usually,796.3,731.2,1021.0,1066.7,-566.7248470059039,-115.93584245175634
7136881,Monolinguals,FR_Word_order,SVadvP_03,frequency,Some people just like to do gardening themselves.,Tom, bought sometimes, flower seeds, before dinner.,Tom bought sometimes flower seeds before dinner.,sometimes,455.4,1154.5,1715.6,681.9,-200.20024950380957,578.6641575482436
7136881,Monolinguals,FR_Word_order,SVadvP_17,manner,There was a power outage going on.,That lady, washed quickly, her clothes, with her own hands.,That lady washed quickly her clothes with her own hands.,quickly,448.6,960.0,741.7,717.4,-356.8499811718725,-385.13900570412056
7136881,Monolinguals,EN_Word_order,SadvPV_26,manner,Nobody wanted to say a word.,The manager, suddenly shredded, the script paper, after the speech.,The manager suddenly shredded the script paper after the speech.,suddenly,865.4,1237.0,699.5,1047.5,-136.6253836697781,-477.8231894422986
7136881,Monolinguals,FR_Word_order,SVadvP_06,frequency,There is a river nearby their house.,The boy, catches always, big fish, in that river.,The boy catches always big fish in that river.,always,753.6,975.2,646.3,977.0,-341.64998117187247,-450.2484954612139
7136881,Monolinguals,FR_Word_order,SVadvP_24,manner,There is an old car in the yard.,John, cleans quietly, the surface, every afternoon.,John cleans quietly the surface every afternoon.,quietly,442.2,852.2,683.4,1101.9,-464.64998117187247,-443.43900570412063
7136881,Monolinguals,FR_Word_order,SVadvP_20,manner,This is a fantastic basketball game.,Tracy, shot carefully, the last ball, before the game ended.,Tracy shot carefully the last ball before the game ended.,carefully,477.4,1036.7,1136.0,927.4,-280.14998117187247,-11.03267919939185
7136881,Monolinguals,FR_Word_order,SVadvP_05,frequency,It is boring to spend several hours on a flight.,Kevin, reads often, a storybook, on the plane.,Kevin reads often a storybook on the plane.,often,405.5,695.1,555.1,741.9,-564.9745786739669,-571.7390057041206
7136881,Monolinguals,EN_Word_order,SadvPV_32,manner,It was 10am on a Monday.,That woman, quickly combed, her hair, before leaving home.,That woman quickly combed her hair before leaving home.,quickly,438.9,850.5,568.7,879.5,-466.3499811718725,-527.8484954612138
7136881,Monolinguals,EN_Word_order,SadvPV_29,manner,Nobody was listening to the host speaking.,The boy, quietly sent, an email, through his phone.,The boy quietly sent an email through his phone.,quietly,404.4,964.4,726.3,872.4,-314.5997128399355,-370.2484954612139
7136881,Monolinguals,EN_Word_order,SadvPV_12,frequency,There is always a beggar sitting beside the gate.,The girl, usually drops, three coins, for the beggar.,The girl usually drops three coins for the beggar.,usually,630.2,811.8,546.1,874.5,-486.12484700590403,-580.7390057041206
7136881,Monolinguals,FR_Word_order,SVadvP_01,frequency,Everybody has a hobby.,John, watches often, television, at home.,John watches often television at home.,often,663.6,1853.1,830.8,481.5,555.1751529940959,-285.94216895648515
7136881,Monolinguals,FR_Word_order,SVadvP_21,manner,No one has been to that house recently.,The man, discovered suddenly, a cloak, in the old garage.,The man discovered suddenly a cloak in the old garage.,suddenly,421.2,1438.4,1275.9,1049.0,26.92434799828493,189.44834128642174
7136881,Monolinguals,EN_Word_order,SadvPV_30,manner,There was not a single fish in the river.,The man, carefully removed, the hook, before leaving.,The man carefully removed the hook before leaving.,carefully,689.7,752.1,545.8,768.4,-621.5253836697781,-550.7484954612139
7136881,Monolinguals,FR_Word_order,SVadvP_22,manner,Enemies were approaching.,Harry, swang quickly, his wand, for an old spell.,Harry swang quickly his wand for an old spell.,quickly,435.1,997.1,764.6,1236.0,-300.82484700590396,-331.94849546121384
7138818,Ebilinguals,EN_Word_order,SadvPV_12,frequency,There is always a beggar sitting beside the gate.,The girl, usually drops, three coins, for the beggar.,The girl usually drops three coins for the beggar.,usually,,1572.1,1263.6,1802.8,274.1751529940959,136.7609942958793
7138818,Ebilinguals,EN_Word_order,SadvPV_16,frequency,Some people like to save money for the future.,John, usually saves, ten dollars, every day.,John usually saves ten dollars every day.,usually,793.3000001,1052.1,1084.9,1237.6,-245.82484700590408,-41.93900570412052
7138818,Ebilinguals,EN_Word_order,SadvPV_27,manner,A storm was just on the way.,Michael,quickly closed,the window,in the corner.,Michael quickly closed the window in the corner.,quickly,709.5,1249.7,1344.9,,-48.22484700590394,238.2546677911505
7138818,Ebilinguals,FR_Word_order,SVadvP_24,manner,There is an old car in the yard.,John, cleans quietly, the surface, every afternoon.,John cleans quietly the surface every afternoon.,quietly,622.8,1903.3,1707.0,2381.4,586.4500188281274,580.1609942958794
7138818,Ebilinguals,FR_Word_order,SVadvP_20,manner,This is a fantastic basketball game.,Tracy, shot carefully, the last ball, before the game ended.,Tracy shot carefully the last ball before the game ended.,carefully,575.4000001,,2000.0,2175.8,,852.9673208006081
7138818,Ebilinguals,FR_Word_order,SVadvP_17,manner,There was a power outage going on.,That lady, washed quickly, her clothes, with her own hands.,That lady washed quickly her clothes with her own hands.,quickly,,,1237.5,1554.6,,110.66099429587939
7138818,Ebilinguals,EN_Word_order,SadvPV_26,manner,Nobody wanted to say a word.,The manager, suddenly shredded, the script paper, after the speech.,The manager suddenly shredded the script paper after the speech.,suddenly,636.4,2145.7,1588.2,2006.8,772.0746163302217,410.87681055770145
7138818,Ebilinguals,EN_Word_order,SadvPV_11,frequency,There are many ways to pay a bill.,The man, sometimes transferred, some money, with a mobile phone.,The man sometimes transferred some money with a mobile phone.,sometimes,,1075.0,1096.7,1345.3,-374.32592033365245,-20.042168956485057
7138818,Ebilinguals,EN_Word_order,SadvPV_28,manner,"Again, it was the reading time.",Linda, slowly opened, that book, on the table. ,Linda slowly opened that book on the table.,slowly,686.2,1016.4,1050.7,1396.2,-281.524847005904,-55.94533220884955
7138818,Ebilinguals,FR_Word_order,SVadvP_07,frequency,It is a big house with six bedrooms.,That girl, heard sometimes, loud music, during sleeping.,That girl heard sometimes loud music during sleeping.,sometimes,,1689.3,1570.6,,353.5248846621589,453.8578310435148
7138818,Ebilinguals,EN_Word_order,SadvPV_32,manner,It was 10am on a Monday.,That woman, quickly combed, her hair, before leaving home.,That woman quickly combed her hair before leaving home.,quickly,1832.7,1367.3,846.6,2038.5,50.45001882812744,-249.94849546121384
7138818,Ebilinguals,EN_Word_order,SadvPV_15,frequency,That store sells great sandwiches.,The woman, sometimes bought, a sandwich, for lunch.,The woman sometimes bought a sandwich for lunch.,sometimes,934.5,1850.4,816.7,1108.5,495.6997504961905,-300.04216895648506
7138818,Ebilinguals,FR_Word_order,SVadvP_05,frequency,It is boring to spend several hours on a flight.,Kevin, reads often, a storybook, on the plane.,Kevin reads often a storybook on the plane.,often,634.6,1021.0,1055.6,921.2,-239.07457867396693,-71.2390057041207
7138818,Ebilinguals,EN_Word_order,SadvPV_10,frequency,Many people like to cook at home.,Linda, always cooks, sweet food, for the holidays.,Linda always cooks sweet food for the holidays.,always,526.8,1062.9,1070.9,1072.0,-216.09971283993536,-45.84216895648501
7138818,Ebilinguals,FR_Word_order,SVadvP_02,frequency,It is funny to talk about someone's habits.,Mary, cleans always, her backpack, after school.,Mary cleans always her backpack after school.,always,484.7,2258.6,2260.5,1057.0,960.6751529940959,1123.5641575482437
7138818,Ebilinguals,FR_Word_order,SVadvP_18,manner,It's not easy to run away from a wild animal.,Winston, moved slowly, his feet, after seeing the wolf.,Winston moved slowly his feet after seeing the wolf.,slowly,576.1999999,1126.1,,1515.2,-152.89971283993555,
7138818,Ebilinguals,FR_Word_order,SVadvP_03,frequency,Some people just like to do gardening themselves.,Tom, bought sometimes, flower seeds, before dinner.,Tom bought sometimes flower seeds before dinner.,sometimes,550.1999999,1510.9,2053.8,1023.1,156.19975049619052,916.8641575482438
7138818,Ebilinguals,EN_Word_order,SadvPV_09,frequency,There was a storm coming.,Lisa, suddenly changed, her path, after hanging up the phone.,Lisa suddenly changed her path after hanging up the phone.,suddenly,524.4,1692.3,1013.7,1354.1,337.5997504961904,-82.84849546121382
7138818,Ebilinguals,EN_Word_order,SadvPV_29,manner,Nobody was listening to the host speaking.,The boy, quietly sent, an email, through his phone.,The boy quietly sent an email through his phone.,quietly,,2051.6,904.5,1466.3,772.6002871600645,-192.04849546121386
7138818,Ebilinguals,EN_Word_order,SadvPV_25,manner,The meeting was already over.,Mary, carefully held, the paper, after finishing talking.,Mary carefully held the paper after finishing talking.,carefully,657.1,1706.9,863.8,2422.5,390.0500188281276,-242.84533220884964
7138818,Ebilinguals,FR_Word_order,SVadvP_21,manner,No one has been to that house recently.,The man, discovered suddenly, a cloak, in the old garage.,The man discovered suddenly a cloak in the old garage.,suddenly,668.4,1048.2,1917.4,2243.3,-363.2756520017151,830.9483412864217
7138818,Ebilinguals,FR_Word_order,SVadvP_23,manner,It was a beautiful morning.,That lady, peeled slowly, a banana, before making coffee.,That lady peeled slowly a banana before making coffee.,slowly,,,1158.0,1421.7,,61.45150453878614
7138818,Ebilinguals,FR_Word_order,SVadvP_19,manner,Everybody was sleeping.,The man, checked quietly, the door, before he closed it.,The man checked quietly the door before he closed it.,quietly,1109.3,,1268.5,2033.0,,171.95150453878614
7138818,Ebilinguals,EN_Word_order,SadvPV_13,frequency,It is exhausting to drive for a whole day.,That driver, often drinks, some wine, after coming home.,That driver often drinks some wine after coming home.,often,558.7,930.5,931.0,1288.7,-348.49971283993546,-175.6453322088496
7138818,Ebilinguals,FR_Word_order,SVadvP_01,frequency,Everybody has a hobby.,John, watches often, television, at home.,John watches often television at home.,often,866.5,1438.9,947.4,642.5,140.9751529940961,-169.34216895648512
7138818,Ebilinguals,EN_Word_order,SadvPV_31,manner,Everybody was watching the show.,The policeman, suddenly entered, the hall, through a window.,The policeman suddenly entered the hall through a window.,suddenly,636.4000001,1405.5,965.4000001,1378.3,50.79975049619043,-131.1484953612138
7138818,Ebilinguals,EN_Word_order,SadvPV_30,manner,There was not a single fish in the river.,The man, carefully removed, the hook, before leaving.,The man carefully removed the hook before leaving.,carefully,970.8,1293.6,1094.0,1399.1,-80.0253836697782,-2.548495461213861
7138818,Ebilinguals,FR_Word_order,SVadvP_06,frequency,There is a river nearby their house.,The boy, catches always, big fish, in that river.,The boy catches always big fish in that river.,always,570.3,,1205.4,1085.1,,108.85150453878623
7138818,Ebilinguals,FR_Word_order,SVadvP_08,frequency,Nobody knows how big their yard is.,The dog, catches usually, a frisbee, in the yard.,The dog catches usually a frisbee in the yard.,usually,682.9,,1197.0,956.9,,90.3546677911504
7138818,Ebilinguals,FR_Word_order,SVadvP_04,frequency,Garage sales are interesting.,Jimmy, sells usually, blue berries, in the garage.,Jimmy sells usually blue berries in the garage.,usually,,,1453.1,1117.8,,316.16415754824357
7138818,Ebilinguals,FR_Word_order,SVadvP_22,manner,Enemies were approaching.,Harry, swang quickly, his wand, for an old spell.,Harry swang quickly his wand for an old spell.,quickly,705.4,1446.2,,2286.9,148.27515299409606,
7138818,Ebilinguals,EN_Word_order,SadvPV_14,frequency,There is no difficult assignment for this online course.,The students, always submit, their essays, before deadlines.,The students always submit their essays before deadlines.,always,573.6,1273.6,997.1999999,1224.6,-24.324847005904076,-139.73584255175638
7142485,Ebilinguals,EN_Word_order,SadvPV_29,manner,Nobody was listening to the host speaking.,The boy, quietly sent, an email, through his phone.,The boy quietly sent an email through his phone.,quietly,801.3,1891.6,1056.8,947.0,612.6002871600645,-39.748495461213906
7142485,Ebilinguals,FR_Word_order,SVadvP_22,manner,Enemies were approaching.,Harry, swang quickly, his wand, for an old spell.,Harry swang quickly his wand for an old spell.,quickly,635.1,1725.7,2034.1,2411.5,427.77515299409606,937.551504538786
7142485,Ebilinguals,FR_Word_order,SVadvP_01,frequency,Everybody has a hobby.,John, watches often, television, at home.,John watches often television at home.,often,649.2,1696.1,1002.9,850.4,398.1751529940959,-113.84216895648512
7142485,Ebilinguals,FR_Word_order,SVadvP_21,manner,No one has been to that house recently.,The man, discovered suddenly, a cloak, in the old garage.,The man discovered suddenly a cloak in the old garage.,suddenly,624.9,1192.2,1499.8,1456.6,-219.27565200171512,413.3483412864216
7142485,Ebilinguals,EN_Word_order,SadvPV_27,manner,A storm was just on the way.,Michael,quickly closed,the window,in the corner.,Michael quickly closed the window in the corner.,quickly,608.0,1000.4,1053.7,1511.5,-297.524847005904,-52.94533220884955
7142485,Ebilinguals,EN_Word_order,SadvPV_09,frequency,There was a storm coming.,Lisa, suddenly changed, her path, after hanging up the phone.,Lisa suddenly changed her path after hanging up the phone.,suddenly,654.1,1006.3,1000.2,2694.4,-348.4002495038096,-96.34849546121382
7142485,Ebilinguals,FR_Word_order,SVadvP_08,frequency,Nobody knows how big their yard is.,The dog, catches usually, a frisbee, in the yard.,The dog catches usually a frisbee in the yard.,usually,584.2,1671.1,933.1,920.2,335.32488466215887,-173.54533220884957
7142485,Ebilinguals,EN_Word_order,SadvPV_32,manner,It was 10am on a Monday.,That woman, quickly combed, her hair, before leaving home.,That woman quickly combed her hair before leaving home.,quickly,608.0,1222.3,760.0,1396.8,-94.54998117187256,-336.54849546121386
7142485,Ebilinguals,FR_Word_order,SVadvP_03,frequency,Some people just like to do gardening themselves.,Tom, bought sometimes, flower seeds, before dinner.,Tom bought sometimes flower seeds before dinner.,sometimes,617.4,1777.8,1227.9,1175.7,423.0997504961904,90.96415754824375
7142485,Ebilinguals,EN_Word_order,SadvPV_28,manner,"Again, it was the reading time.",Linda, slowly opened, that book, on the table. ,Linda slowly opened that book on the table.,slowly,710.3,1271.5,1354.0,1059.6,-26.424847005903985,247.3546677911504
7142485,Ebilinguals,EN_Word_order,SadvPV_31,manner,Everybody was watching the show.,The policeman, suddenly entered, the hall, through a window.,The policeman suddenly entered the hall through a window.,suddenly,759.6,880.3,939.7,1274.0,-474.4002495038096,-156.84849546121382
7142485,Ebilinguals,FR_Word_order,SVadvP_19,manner,Everybody was sleeping.,The man, checked quietly, the door, before he closed it.,The man checked quietly the door before he closed it.,quietly,531.2,1315.1,1152.1,1933.8,-20.675115337841135,55.55150453878605
7142485,Ebilinguals,FR_Word_order,SVadvP_04,frequency,Garage sales are interesting.,Jimmy, sells usually, blue berries, in the garage.,Jimmy sells usually blue berries in the garage.,usually,558.8,,2358.5,827.8,,1221.5641575482437
7142485,Ebilinguals,EN_Word_order,SadvPV_26,manner,Nobody wanted to say a word.,The manager, suddenly shredded, the script paper, after the speech.,The manager suddenly shredded the script paper after the speech.,suddenly,542.1,1253.7,1172.6,1762.6,-119.92538366977806,-4.72318944229869
7142485,Ebilinguals,FR_Word_order,SVadvP_18,manner,It's not easy to run away from a wild animal.,Winston, moved slowly, his feet, after seeing the wolf.,Winston moved slowly his feet after seeing the wolf.,slowly,591.8,979.1,1190.9,1661.4,-299.89971283993543,94.35150453878623
7142485,Ebilinguals,EN_Word_order,SadvPV_16,frequency,Some people like to save money for the future.,John, usually saves, ten dollars, every day.,John usually saves ten dollars every day.,usually,,1024.1,995.2,1051.0,-273.8248470059041,-131.63900570412056
7142485,Ebilinguals,FR_Word_order,SVadvP_07,frequency,It is a big house with six bedrooms.,That girl, heard sometimes, loud music, during sleeping.,That girl heard sometimes loud music during sleeping.,sometimes,601.2,1645.5,1090.5,1434.6,309.72488466215896,-26.242168956485102
7142485,Ebilinguals,FR_Word_order,SVadvP_02,frequency,It is funny to talk about someone's habits.,Mary, cleans always, her backpack, after school.,Mary cleans always her backpack after school.,always,525.6,1238.6,920.8,920.2,-59.324847005904076,-216.1358424517564
7142485,Ebilinguals,EN_Word_order,SadvPV_30,manner,There was not a single fish in the river.,The man, carefully removed, the hook, before leaving.,The man carefully removed the hook before leaving.,carefully,636.8,1073.1,728.8,864.8,-300.5253836697782,-367.7484954612139
7142485,Ebilinguals,FR_Word_order,SVadvP_20,manner,This is a fantastic basketball game.,Tracy, shot carefully, the last ball, before the game ended.,Tracy shot carefully the last ball before the game ended.,carefully,519.8,1667.2,1067.0,1527.1,350.35001882812753,-80.03267919939185
7142485,Ebilinguals,FR_Word_order,SVadvP_17,manner,There was a power outage going on.,That lady, washed quickly, her clothes, with her own hands.,That lady washed quickly her clothes with her own hands.,quickly,935.7,1017.2,750.6,1298.8,-299.64998117187247,-376.2390057041206
